Software Version,3.11.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4:38:16,37.0,,,,,,,,,,,,,,0.078,0.083,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.225,0.226,0.229,0.228,0.206,0.079,0.079,0.080,0.082,,,0.079,0.154,0.151,0.154,0.162,0.169,0.079,0.078,0.078,0.081,,,0.081,0.121,0.123,0.125,0.128,0.127,0.080,0.079,0.081,0.079,,,0.080,0.097,0.099,0.098,0.099,0.099,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
4:45:48,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.232,0.233,0.237,0.236,0.213,0.080,0.079,0.080,0.082,,,0.079,0.158,0.155,0.158,0.166,0.173,0.078,0.078,0.079,0.081,,,0.081,0.124,0.126,0.128,0.130,0.130,0.080,0.079,0.081,0.079,,,0.080,0.098,0.099,0.099,0.100,0.100,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
4:53:20,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.241,0.241,0.245,0.245,0.222,0.080,0.079,0.080,0.082,,,0.079,0.162,0.159,0.162,0.171,0.178,0.078,0.079,0.078,0.082,,,0.082,0.126,0.129,0.131,0.133,0.133,0.080,0.079,0.081,0.079,,,0.080,0.099,0.101,0.100,0.101,0.101,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
5:00:52,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.248,0.249,0.254,0.253,0.230,0.080,0.079,0.079,0.082,,,0.079,0.166,0.163,0.166,0.175,0.182,0.079,0.079,0.079,0.082,,,0.081,0.129,0.131,0.133,0.136,0.136,0.080,0.079,0.080,0.079,,,0.080,0.100,0.102,0.101,0.101,0.102,0.079,0.082,0.080,0.078,,,0.079,0.081,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
5:08:24,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.257,0.258,0.263,0.262,0.237,0.080,0.080,0.080,0.082,,,0.079,0.170,0.167,0.170,0.179,0.187,0.078,0.078,0.078,0.082,,,0.081,0.132,0.134,0.136,0.139,0.139,0.080,0.079,0.080,0.079,,,0.080,0.101,0.103,0.102,0.103,0.104,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
5:15:56,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.266,0.267,0.271,0.272,0.245,0.080,0.080,0.080,0.083,,,0.079,0.175,0.172,0.175,0.184,0.193,0.079,0.079,0.078,0.082,,,0.082,0.135,0.137,0.139,0.142,0.142,0.080,0.079,0.081,0.079,,,0.080,0.102,0.104,0.103,0.104,0.105,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.081,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
5:23:28,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.275,0.276,0.281,0.281,0.254,0.080,0.079,0.080,0.082,,,0.079,0.180,0.176,0.180,0.189,0.198,0.078,0.079,0.079,0.081,,,0.081,0.138,0.140,0.142,0.145,0.145,0.080,0.079,0.081,0.079,,,0.080,0.104,0.105,0.105,0.105,0.107,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
5:31:00,37.0,,,,,,,,,,,,,,0.079,0.083,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.284,0.285,0.290,0.291,0.263,0.080,0.080,0.080,0.082,,,0.079,0.185,0.181,0.184,0.194,0.204,0.079,0.078,0.079,0.082,,,0.081,0.141,0.144,0.146,0.149,0.149,0.080,0.079,0.081,0.079,,,0.080,0.105,0.107,0.106,0.106,0.108,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.080,0.079,0.079,,,,,,,,,,,,,
5:38:32,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.294,0.295,0.300,0.301,0.272,0.079,0.080,0.080,0.082,,,0.079,0.190,0.186,0.190,0.200,0.210,0.078,0.078,0.078,0.082,,,0.081,0.144,0.147,0.149,0.152,0.152,0.080,0.079,0.080,0.079,,,0.080,0.106,0.108,0.108,0.108,0.109,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
5:46:04,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.304,0.305,0.310,0.312,0.281,0.080,0.079,0.080,0.082,,,0.079,0.195,0.191,0.195,0.205,0.216,0.079,0.079,0.079,0.082,,,0.082,0.148,0.151,0.153,0.156,0.156,0.080,0.079,0.081,0.079,,,0.080,0.108,0.110,0.109,0.109,0.111,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
5:53:36,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.077,,,0.080,0.315,0.316,0.321,0.324,0.292,0.080,0.079,0.080,0.082,,,0.079,0.200,0.196,0.201,0.211,0.222,0.078,0.078,0.079,0.082,,,0.082,0.152,0.154,0.157,0.160,0.160,0.080,0.079,0.081,0.079,,,0.080,0.109,0.111,0.111,0.111,0.113,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
6:01:08,37.0,,,,,,,,,,,,,,0.079,0.083,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.326,0.327,0.332,0.335,0.302,0.080,0.079,0.080,0.083,,,0.079,0.206,0.202,0.207,0.217,0.229,0.079,0.079,0.079,0.082,,,0.082,0.155,0.159,0.161,0.165,0.165,0.080,0.080,0.081,0.079,,,0.080,0.111,0.113,0.113,0.112,0.115,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.079,0.079,,,,,,,,,,,,,
6:08:40,37.0,,,,,,,,,,,,,,0.078,0.083,0.079,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.337,0.338,0.343,0.346,0.312,0.080,0.079,0.080,0.082,,,0.079,0.212,0.208,0.213,0.223,0.235,0.078,0.078,0.078,0.082,,,0.082,0.159,0.163,0.165,0.169,0.169,0.080,0.079,0.081,0.079,,,0.080,0.113,0.115,0.114,0.114,0.116,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.079,0.079,,,,,,,,,,,,,
6:16:12,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.077,,,0.080,0.349,0.349,0.355,0.359,0.323,0.079,0.079,0.080,0.082,,,0.078,0.218,0.214,0.219,0.229,0.241,0.079,0.079,0.079,0.082,,,0.082,0.163,0.167,0.170,0.173,0.173,0.080,0.079,0.081,0.079,,,0.080,0.115,0.116,0.116,0.115,0.118,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
6:23:44,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.361,0.362,0.366,0.371,0.334,0.079,0.079,0.080,0.085,,,0.079,0.224,0.220,0.225,0.236,0.248,0.078,0.078,0.079,0.082,,,0.082,0.168,0.172,0.174,0.178,0.178,0.080,0.079,0.081,0.079,,,0.080,0.116,0.118,0.118,0.117,0.120,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
6:31:16,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.373,0.374,0.380,0.384,0.346,0.079,0.080,0.080,0.084,,,0.078,0.230,0.226,0.232,0.242,0.254,0.078,0.079,0.079,0.081,,,0.082,0.172,0.176,0.179,0.183,0.184,0.080,0.079,0.081,0.079,,,0.080,0.118,0.120,0.120,0.119,0.122,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
6:38:48,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.385,0.387,0.392,0.397,0.357,0.079,0.080,0.079,0.084,,,0.079,0.237,0.233,0.239,0.248,0.260,0.079,0.078,0.079,0.082,,,0.082,0.177,0.181,0.184,0.188,0.189,0.080,0.079,0.081,0.079,,,0.080,0.120,0.122,0.122,0.121,0.124,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
6:46:20,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.398,0.400,0.405,0.410,0.369,0.079,0.080,0.080,0.085,,,0.078,0.243,0.239,0.246,0.255,0.267,0.079,0.078,0.079,0.082,,,0.082,0.181,0.186,0.189,0.193,0.194,0.080,0.079,0.080,0.079,,,0.080,0.122,0.124,0.124,0.123,0.126,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
6:53:52,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.412,0.413,0.418,0.424,0.381,0.080,0.079,0.080,0.084,,,0.079,0.249,0.246,0.253,0.261,0.273,0.078,0.079,0.079,0.082,,,0.081,0.187,0.192,0.195,0.199,0.200,0.080,0.079,0.081,0.079,,,0.080,0.125,0.126,0.126,0.125,0.129,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
7:01:24,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.425,0.426,0.432,0.438,0.392,0.080,0.080,0.080,0.084,,,0.079,0.255,0.253,0.260,0.267,0.280,0.079,0.078,0.079,0.082,,,0.082,0.192,0.197,0.200,0.205,0.205,0.080,0.079,0.081,0.079,,,0.080,0.127,0.129,0.129,0.127,0.131,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
7:08:56,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.438,0.440,0.445,0.451,0.405,0.080,0.080,0.080,0.085,,,0.079,0.262,0.261,0.268,0.274,0.287,0.078,0.078,0.079,0.082,,,0.082,0.198,0.202,0.206,0.211,0.211,0.080,0.079,0.081,0.079,,,0.080,0.129,0.131,0.131,0.130,0.134,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
7:16:28,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.452,0.454,0.459,0.466,0.418,0.080,0.080,0.080,0.085,,,0.079,0.268,0.268,0.275,0.281,0.294,0.078,0.078,0.079,0.082,,,0.082,0.203,0.208,0.212,0.217,0.218,0.080,0.079,0.081,0.079,,,0.080,0.132,0.134,0.134,0.132,0.137,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
7:24:00,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.466,0.467,0.474,0.480,0.431,0.080,0.080,0.080,0.085,,,0.079,0.275,0.275,0.283,0.287,0.302,0.078,0.079,0.079,0.082,,,0.081,0.209,0.214,0.218,0.223,0.224,0.080,0.079,0.081,0.079,,,0.080,0.134,0.136,0.136,0.135,0.139,0.079,0.081,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
7:31:32,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.080,0.078,,,0.080,0.480,0.482,0.488,0.495,0.447,0.080,0.079,0.080,0.084,,,0.079,0.282,0.282,0.291,0.295,0.308,0.078,0.079,0.079,0.082,,,0.082,0.215,0.220,0.224,0.229,0.231,0.080,0.079,0.081,0.079,,,0.080,0.137,0.139,0.139,0.137,0.142,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
7:39:04,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.494,0.496,0.504,0.511,0.464,0.080,0.080,0.080,0.085,,,0.079,0.289,0.289,0.299,0.301,0.315,0.079,0.079,0.079,0.082,,,0.081,0.221,0.227,0.230,0.236,0.237,0.080,0.079,0.081,0.080,,,0.080,0.140,0.142,0.142,0.140,0.145,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.079,0.079,,,,,,,,,,,,,
7:46:36,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.511,0.513,0.521,0.528,0.513,0.080,0.080,0.080,0.085,,,0.079,0.296,0.295,0.308,0.309,0.322,0.078,0.079,0.079,0.082,,,0.082,0.227,0.233,0.237,0.242,0.244,0.080,0.079,0.081,0.079,,,0.080,0.143,0.144,0.144,0.142,0.148,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
7:54:08,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.080,0.077,,,0.080,0.530,0.531,0.542,0.549,0.508,0.080,0.080,0.080,0.084,,,0.079,0.303,0.302,0.316,0.316,0.328,0.078,0.078,0.079,0.082,,,0.082,0.234,0.240,0.243,0.249,0.252,0.080,0.079,0.081,0.080,,,0.080,0.146,0.148,0.148,0.145,0.151,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:01:40,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.554,0.552,0.599,0.610,0.500,0.079,0.080,0.080,0.085,,,0.079,0.309,0.309,0.326,0.322,0.333,0.078,0.078,0.079,0.082,,,0.082,0.240,0.246,0.249,0.256,0.259,0.080,0.079,0.081,0.079,,,0.080,0.149,0.151,0.151,0.148,0.155,0.079,0.081,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:09:12,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.080,0.078,,,0.080,0.609,0.612,0.611,0.612,0.496,0.080,0.080,0.080,0.084,,,0.079,0.316,0.317,0.334,0.329,0.339,0.078,0.079,0.079,0.082,,,0.082,0.247,0.254,0.258,0.264,0.267,0.080,0.079,0.081,0.079,,,0.080,0.152,0.154,0.154,0.151,0.158,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:16:44,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.077,,,0.080,0.604,0.610,0.603,0.603,0.493,0.080,0.080,0.080,0.085,,,0.079,0.323,0.323,0.343,0.334,0.345,0.079,0.079,0.079,0.082,,,0.082,0.254,0.261,0.266,0.272,0.275,0.080,0.079,0.081,0.079,,,0.080,0.156,0.158,0.157,0.155,0.162,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:24:16,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.081,0.080,0.078,,,0.080,0.596,0.601,0.596,0.597,0.502,0.079,0.080,0.080,0.084,,,0.079,0.329,0.330,0.351,0.340,0.349,0.078,0.079,0.079,0.082,,,0.082,0.262,0.268,0.273,0.280,0.283,0.080,0.079,0.081,0.079,,,0.080,0.159,0.161,0.161,0.158,0.165,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:31:48,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.592,0.597,0.592,0.594,0.510,0.080,0.079,0.080,0.085,,,0.079,0.334,0.336,0.360,0.346,0.355,0.079,0.078,0.079,0.082,,,0.082,0.269,0.276,0.280,0.288,0.291,0.080,0.079,0.081,0.079,,,0.080,0.163,0.164,0.165,0.161,0.169,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:39:20,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.589,0.595,0.591,0.592,0.512,0.080,0.079,0.080,0.084,,,0.079,0.340,0.342,0.367,0.351,0.360,0.078,0.078,0.079,0.082,,,0.082,0.277,0.284,0.288,0.296,0.300,0.080,0.079,0.081,0.079,,,0.080,0.166,0.168,0.169,0.165,0.173,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:46:52,37.0,,,,,,,,,,,,,,0.078,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.588,0.593,0.590,0.592,0.512,0.080,0.080,0.080,0.084,,,0.079,0.345,0.348,0.376,0.356,0.366,0.079,0.079,0.079,0.082,,,0.081,0.285,0.292,0.296,0.305,0.309,0.080,0.080,0.081,0.079,,,0.080,0.170,0.172,0.172,0.169,0.177,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
8:54:24,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.588,0.592,0.590,0.592,0.513,0.080,0.080,0.080,0.085,,,0.079,0.350,0.354,0.384,0.362,0.370,0.078,0.079,0.079,0.082,,,0.082,0.293,0.301,0.304,0.314,0.318,0.080,0.080,0.081,0.080,,,0.080,0.174,0.176,0.176,0.172,0.182,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
9:01:56,37.0,,,,,,,,,,,,,,0.079,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.588,0.591,0.590,0.592,0.513,0.080,0.080,0.080,0.085,,,0.079,0.355,0.360,0.392,0.367,0.375,0.079,0.079,0.078,0.082,,,0.082,0.302,0.310,0.313,0.324,0.328,0.080,0.080,0.081,0.079,,,0.080,0.179,0.180,0.180,0.177,0.187,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
9:09:28,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.587,0.592,0.591,0.609,0.512,0.080,0.080,0.080,0.085,,,0.079,0.361,0.366,0.400,0.372,0.381,0.079,0.079,0.079,0.082,,,0.082,0.311,0.319,0.323,0.333,0.338,0.080,0.079,0.081,0.079,,,0.080,0.183,0.184,0.185,0.180,0.191,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
9:17:00,37.0,,,,,,,,,,,,,,0.079,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.595,0.593,0.591,0.618,0.511,0.080,0.079,0.080,0.085,,,0.079,0.366,0.372,0.408,0.378,0.386,0.079,0.079,0.078,0.081,,,0.082,0.320,0.329,0.333,0.343,0.348,0.080,0.079,0.081,0.079,,,0.080,0.188,0.189,0.189,0.185,0.196,0.079,0.082,0.081,0.078,,,0.080,0.080,0.079,0.080,0.080,0.080,0.079,0.080,0.079,0.079,,,,,,,,,,,,,
9:24:32,37.0,,,,,,,,,,,,,,0.079,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.612,0.604,0.611,0.621,0.511,0.080,0.079,0.080,0.085,,,0.079,0.371,0.377,0.417,0.383,0.391,0.079,0.079,0.078,0.082,,,0.082,0.330,0.338,0.342,0.353,0.358,0.080,0.080,0.081,0.080,,,0.080,0.192,0.193,0.194,0.189,0.201,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.079,0.079,0.079,0.079,,,,,,,,,,,,,
9:32:04,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.080,0.078,,,0.080,0.617,0.617,0.620,0.623,0.509,0.080,0.079,0.080,0.084,,,0.079,0.376,0.383,0.426,0.388,0.396,0.079,0.079,0.079,0.082,,,0.082,0.340,0.348,0.352,0.364,0.369,0.080,0.079,0.081,0.079,,,0.080,0.197,0.198,0.199,0.194,0.206,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.080,0.079,0.079,,,,,,,,,,,,,
9:39:36,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.621,0.624,0.623,0.623,0.509,0.080,0.080,0.080,0.085,,,0.079,0.381,0.389,0.436,0.393,0.401,0.079,0.079,0.079,0.082,,,0.082,0.350,0.359,0.362,0.374,0.379,0.080,0.080,0.081,0.079,,,0.080,0.202,0.203,0.203,0.198,0.212,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
9:47:08,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.620,0.625,0.623,0.624,0.508,0.080,0.079,0.080,0.085,,,0.079,0.386,0.395,0.446,0.398,0.406,0.079,0.079,0.079,0.082,,,0.082,0.360,0.369,0.373,0.385,0.390,0.080,0.080,0.081,0.079,,,0.080,0.207,0.208,0.209,0.203,0.217,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
9:54:40,36.9,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.620,0.624,0.624,0.623,0.507,0.080,0.079,0.080,0.085,,,0.079,0.391,0.400,0.458,0.403,0.412,0.079,0.078,0.078,0.082,,,0.082,0.370,0.380,0.384,0.397,0.401,0.080,0.079,0.080,0.079,,,0.080,0.212,0.213,0.213,0.208,0.222,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
10:02:12,37.0,,,,,,,,,,,,,,0.079,0.084,0.080,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.620,0.625,0.624,0.621,0.505,0.080,0.079,0.080,0.085,,,0.079,0.396,0.406,0.483,0.408,0.423,0.079,0.079,0.079,0.081,,,0.082,0.381,0.390,0.394,0.407,0.412,0.080,0.079,0.081,0.080,,,0.080,0.217,0.218,0.219,0.213,0.228,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
10:09:44,37.0,,,,,,,,,,,,,,0.078,0.084,0.080,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.619,0.624,0.623,0.620,0.504,0.079,0.079,0.080,0.084,,,0.079,0.401,0.412,0.500,0.413,0.431,0.079,0.079,0.079,0.081,,,0.082,0.391,0.401,0.405,0.418,0.423,0.080,0.079,0.081,0.079,,,0.080,0.223,0.224,0.224,0.218,0.234,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
10:17:16,37.0,,,,,,,,,,,,,,0.079,0.084,0.079,0.079,0.078,0.078,0.081,0.081,0.079,0.078,,,0.080,0.618,0.624,0.622,0.620,0.504,0.080,0.080,0.080,0.085,,,0.079,0.406,0.419,0.501,0.418,0.434,0.078,0.079,0.079,0.082,,,0.082,0.402,0.412,0.416,0.430,0.435,0.080,0.079,0.081,0.079,,,0.080,0.228,0.229,0.229,0.224,0.240,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
10:24:48,37.0,,,,,,,,,,,,,,0.079,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.079,0.078,,,0.080,0.617,0.623,0.621,0.618,0.502,0.079,0.080,0.080,0.084,,,0.078,0.410,0.431,0.498,0.424,0.436,0.078,0.079,0.078,0.082,,,0.082,0.413,0.423,0.427,0.441,0.447,0.080,0.079,0.081,0.079,,,0.080,0.233,0.234,0.235,0.229,0.246,0.079,0.082,0.081,0.078,,,0.079,0.080,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
10:32:20,37.0,,,,,,,,,,,,,,0.079,0.084,0.079,0.079,0.078,0.078,0.081,0.082,0.080,0.078,,,0.080,0.616,0.621,0.620,0.617,0.500,0.080,0.079,0.080,0.085,,,0.079,0.416,0.442,0.497,0.437,0.437,0.079,0.079,0.079,0.082,,,0.081,0.424,0.435,0.439,0.453,0.460,0.080,0.079,0.081,0.079,,,0.080,0.239,0.239,0.240,0.234,0.251,0.079,0.082,0.081,0.078,,,0.079,0.081,0.079,0.080,0.080,0.080,0.078,0.079,0.079,0.079,,,,,,,,,,,,,
