well,od_600nm,strain,water_source,micronutrients,replicate,growth_medium,date,run_number,elapsed_time_hr,avg_blank_value
C3,0.084,WT,CCSR,True,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C5,0.085,WT,CCSR,True,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C6,0.082,WT,CCSR,True,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C7,0.082,WT,MQ-,True,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C9,0.084,WT,MQ-,True,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C10,0.083,WT,MQ-,True,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D3,0.084,WT,CCSR,False,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D4,0.083,WT,CCSR,False,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D5,0.083,WT,CCSR,False,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D6,0.084,WT,CCSR,False,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D7,0.087,WT,MQ-,False,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D8,0.085,WT,MQ-,False,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D9,0.085,WT,MQ-,False,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
D10,0.086,WT,MQ-,False,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E5,0.084,WT,MQ+,True,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E6,0.082,WT,MQ+,True,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E7,0.082,WT,Carboy,True,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E8,0.083,WT,Carboy,True,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
E10,0.083,WT,Carboy,True,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F3,0.087,WT,MQ+,False,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F4,0.088,WT,MQ+,False,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F5,0.087,WT,MQ+,False,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F6,0.087,WT,MQ+,False,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F7,0.088,WT,Carboy,False,1,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F8,0.084,WT,Carboy,False,2,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F9,0.087,WT,Carboy,False,3,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
F10,0.087,WT,Carboy,False,4,acetate,2021-08-06,1,0.12555555555555556,0.0787857142857143
C3,0.085,WT,CCSR,True,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C5,0.084,WT,CCSR,True,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C6,0.083,WT,CCSR,True,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C7,0.083,WT,MQ-,True,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C9,0.084,WT,MQ-,True,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C10,0.084,WT,MQ-,True,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D3,0.084,WT,CCSR,False,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D4,0.083,WT,CCSR,False,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D5,0.083,WT,CCSR,False,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D6,0.084,WT,CCSR,False,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D7,0.088,WT,MQ-,False,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D8,0.085,WT,MQ-,False,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D9,0.085,WT,MQ-,False,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
D10,0.086,WT,MQ-,False,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E5,0.083,WT,MQ+,True,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E6,0.083,WT,MQ+,True,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E7,0.082,WT,Carboy,True,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E8,0.083,WT,Carboy,True,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
E10,0.084,WT,Carboy,True,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F3,0.087,WT,MQ+,False,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F4,0.088,WT,MQ+,False,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F5,0.087,WT,MQ+,False,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F6,0.087,WT,MQ+,False,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F7,0.088,WT,Carboy,False,1,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F8,0.085,WT,Carboy,False,2,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F9,0.088,WT,Carboy,False,3,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
F10,0.088,WT,Carboy,False,4,acetate,2021-08-06,1,0.2511111111111111,0.0787857142857143
C3,0.085,WT,CCSR,True,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C5,0.085,WT,CCSR,True,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C6,0.083,WT,CCSR,True,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C7,0.083,WT,MQ-,True,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C9,0.084,WT,MQ-,True,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C10,0.084,WT,MQ-,True,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D3,0.084,WT,CCSR,False,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D4,0.083,WT,CCSR,False,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D5,0.084,WT,CCSR,False,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D6,0.085,WT,CCSR,False,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D7,0.088,WT,MQ-,False,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D8,0.086,WT,MQ-,False,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D9,0.085,WT,MQ-,False,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
D10,0.087,WT,MQ-,False,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E5,0.084,WT,MQ+,True,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E6,0.083,WT,MQ+,True,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E7,0.082,WT,Carboy,True,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E8,0.083,WT,Carboy,True,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
E10,0.084,WT,Carboy,True,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F3,0.088,WT,MQ+,False,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F4,0.088,WT,MQ+,False,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F5,0.087,WT,MQ+,False,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F6,0.087,WT,MQ+,False,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F7,0.088,WT,Carboy,False,1,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F8,0.085,WT,Carboy,False,2,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F9,0.088,WT,Carboy,False,3,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
F10,0.088,WT,Carboy,False,4,acetate,2021-08-06,1,0.37666666666666665,0.07871428571428574
C3,0.085,WT,CCSR,True,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C5,0.085,WT,CCSR,True,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C6,0.083,WT,CCSR,True,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C7,0.083,WT,MQ-,True,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C9,0.085,WT,MQ-,True,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C10,0.083,WT,MQ-,True,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D3,0.085,WT,CCSR,False,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D4,0.084,WT,CCSR,False,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D5,0.084,WT,CCSR,False,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D6,0.085,WT,CCSR,False,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D7,0.088,WT,MQ-,False,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D8,0.086,WT,MQ-,False,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D9,0.086,WT,MQ-,False,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
D10,0.087,WT,MQ-,False,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E5,0.084,WT,MQ+,True,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E6,0.083,WT,MQ+,True,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E7,0.083,WT,Carboy,True,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E8,0.083,WT,Carboy,True,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
E10,0.084,WT,Carboy,True,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F3,0.088,WT,MQ+,False,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F4,0.088,WT,MQ+,False,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F5,0.088,WT,MQ+,False,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F6,0.088,WT,MQ+,False,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F7,0.088,WT,Carboy,False,1,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F8,0.086,WT,Carboy,False,2,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F9,0.088,WT,Carboy,False,3,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
F10,0.088,WT,Carboy,False,4,acetate,2021-08-06,1,0.5022222222222222,0.07889285714285717
C3,0.085,WT,CCSR,True,1,acetate,2021-08-06,1,0.6277777777777778,0.079
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,0.6277777777777778,0.079
C5,0.085,WT,CCSR,True,3,acetate,2021-08-06,1,0.6277777777777778,0.079
C6,0.083,WT,CCSR,True,4,acetate,2021-08-06,1,0.6277777777777778,0.079
C7,0.083,WT,MQ-,True,1,acetate,2021-08-06,1,0.6277777777777778,0.079
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,0.6277777777777778,0.079
C9,0.085,WT,MQ-,True,3,acetate,2021-08-06,1,0.6277777777777778,0.079
C10,0.084,WT,MQ-,True,4,acetate,2021-08-06,1,0.6277777777777778,0.079
D3,0.085,WT,CCSR,False,1,acetate,2021-08-06,1,0.6277777777777778,0.079
D4,0.084,WT,CCSR,False,2,acetate,2021-08-06,1,0.6277777777777778,0.079
D5,0.084,WT,CCSR,False,3,acetate,2021-08-06,1,0.6277777777777778,0.079
D6,0.085,WT,CCSR,False,4,acetate,2021-08-06,1,0.6277777777777778,0.079
D7,0.088,WT,MQ-,False,1,acetate,2021-08-06,1,0.6277777777777778,0.079
D8,0.087,WT,MQ-,False,2,acetate,2021-08-06,1,0.6277777777777778,0.079
D9,0.085,WT,MQ-,False,3,acetate,2021-08-06,1,0.6277777777777778,0.079
D10,0.087,WT,MQ-,False,4,acetate,2021-08-06,1,0.6277777777777778,0.079
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.6277777777777778,0.079
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.6277777777777778,0.079
E5,0.084,WT,MQ+,True,3,acetate,2021-08-06,1,0.6277777777777778,0.079
E6,0.083,WT,MQ+,True,4,acetate,2021-08-06,1,0.6277777777777778,0.079
E7,0.083,WT,Carboy,True,1,acetate,2021-08-06,1,0.6277777777777778,0.079
E8,0.083,WT,Carboy,True,2,acetate,2021-08-06,1,0.6277777777777778,0.079
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,0.6277777777777778,0.079
E10,0.084,WT,Carboy,True,4,acetate,2021-08-06,1,0.6277777777777778,0.079
F3,0.088,WT,MQ+,False,1,acetate,2021-08-06,1,0.6277777777777778,0.079
F4,0.089,WT,MQ+,False,2,acetate,2021-08-06,1,0.6277777777777778,0.079
F5,0.088,WT,MQ+,False,3,acetate,2021-08-06,1,0.6277777777777778,0.079
F6,0.088,WT,MQ+,False,4,acetate,2021-08-06,1,0.6277777777777778,0.079
F7,0.089,WT,Carboy,False,1,acetate,2021-08-06,1,0.6277777777777778,0.079
F8,0.086,WT,Carboy,False,2,acetate,2021-08-06,1,0.6277777777777778,0.079
F9,0.088,WT,Carboy,False,3,acetate,2021-08-06,1,0.6277777777777778,0.079
F10,0.088,WT,Carboy,False,4,acetate,2021-08-06,1,0.6277777777777778,0.079
C3,0.085,WT,CCSR,True,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C5,0.085,WT,CCSR,True,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C6,0.084,WT,CCSR,True,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C7,0.083,WT,MQ-,True,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C9,0.085,WT,MQ-,True,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C10,0.084,WT,MQ-,True,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D3,0.085,WT,CCSR,False,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D4,0.084,WT,CCSR,False,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D5,0.084,WT,CCSR,False,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D6,0.085,WT,CCSR,False,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D7,0.088,WT,MQ-,False,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D8,0.087,WT,MQ-,False,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D9,0.086,WT,MQ-,False,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
D10,0.087,WT,MQ-,False,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E5,0.084,WT,MQ+,True,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E6,0.083,WT,MQ+,True,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E7,0.083,WT,Carboy,True,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E8,0.084,WT,Carboy,True,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
E10,0.084,WT,Carboy,True,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F3,0.088,WT,MQ+,False,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F4,0.089,WT,MQ+,False,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F5,0.088,WT,MQ+,False,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F6,0.088,WT,MQ+,False,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F7,0.089,WT,Carboy,False,1,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F8,0.086,WT,Carboy,False,2,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F9,0.088,WT,Carboy,False,3,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
F10,0.089,WT,Carboy,False,4,acetate,2021-08-06,1,0.7533333333333333,0.07885714285714286
C3,0.085,WT,CCSR,True,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C5,0.085,WT,CCSR,True,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C6,0.084,WT,CCSR,True,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C7,0.083,WT,MQ-,True,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C9,0.085,WT,MQ-,True,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C10,0.084,WT,MQ-,True,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D3,0.085,WT,CCSR,False,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D4,0.084,WT,CCSR,False,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D5,0.084,WT,CCSR,False,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D6,0.085,WT,CCSR,False,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D7,0.088,WT,MQ-,False,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D8,0.087,WT,MQ-,False,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D9,0.086,WT,MQ-,False,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
D10,0.088,WT,MQ-,False,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E5,0.084,WT,MQ+,True,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E6,0.083,WT,MQ+,True,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E7,0.083,WT,Carboy,True,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E8,0.084,WT,Carboy,True,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
E10,0.084,WT,Carboy,True,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F3,0.088,WT,MQ+,False,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F4,0.089,WT,MQ+,False,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F5,0.088,WT,MQ+,False,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F6,0.089,WT,MQ+,False,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F7,0.089,WT,Carboy,False,1,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F8,0.086,WT,Carboy,False,2,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F9,0.088,WT,Carboy,False,3,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
F10,0.089,WT,Carboy,False,4,acetate,2021-08-06,1,0.8788888888888889,0.07892857142857145
C3,0.085,WT,CCSR,True,1,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
C4,0.086,WT,CCSR,True,2,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
C5,0.085,WT,CCSR,True,3,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
C6,0.084,WT,CCSR,True,4,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
C7,0.083,WT,MQ-,True,1,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
C8,0.083,WT,MQ-,True,2,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
C9,0.085,WT,MQ-,True,3,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
C10,0.084,WT,MQ-,True,4,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D3,0.085,WT,CCSR,False,1,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D4,0.084,WT,CCSR,False,2,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D5,0.084,WT,CCSR,False,3,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D6,0.086,WT,CCSR,False,4,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D7,0.089,WT,MQ-,False,1,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D8,0.087,WT,MQ-,False,2,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D9,0.086,WT,MQ-,False,3,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
D10,0.088,WT,MQ-,False,4,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E3,0.083,WT,MQ+,True,1,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E4,0.083,WT,MQ+,True,2,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E5,0.084,WT,MQ+,True,3,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E6,0.083,WT,MQ+,True,4,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E7,0.083,WT,Carboy,True,1,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E8,0.084,WT,Carboy,True,2,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E9,0.085,WT,Carboy,True,3,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
E10,0.084,WT,Carboy,True,4,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
F3,0.088,WT,MQ+,False,1,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
F4,0.089,WT,MQ+,False,2,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
F5,0.088,WT,MQ+,False,3,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
F6,0.089,WT,MQ+,False,4,acetate,2021-08-06,1,1.0044444444444445,0.07885714285714286
